Team,Year,Matches,Won,Lost,Tied,Points,NRR
MI,2019,14,9,5,0,18,0.421
CSK,2019,14,9,5,0,18,0.131
DD,2019,14,9,5,0,18,0.044
SRH,2019,14,6,8,0,12,0.577
KKR,2019,14,6,8,0,12,0.028
KXIP,2019,14,6,8,0,12,-0.251
RR,2019,14,5,8,0,11,-0.449
RCB,2019,14,5,8,0,11,-0.607
SRH,2018,14,9,5,0,18,0.284
CSK,2018,14,9,5,0,18,0.253
KKR,2018,14,8,6,0,16,-0.07
RR,2018,14,7,7,0,14,-0.25
MI,2018,14,6,8,0,12,0.317
RCB,2018,14,6,8,0,12,0.129
KXIP,2018,14,6,8,0,12,-0.502
DD,2018,14,5,9,0,10,-0.222
MI,2017,14,10,4,0,20,0.784
RPS,2017,14,9,5,0,18,0.176
SRH,2017,14,8,5,1,17,0.599
KKR,2017,14,8,6,0,16,0.641
KXIP,2017,14,7,7,0,14,-0.009
DD,2017,14,6,8,0,12,-0.512
GL,2017,14,4,10,0,8,-0.412
RCB,2017,14,3,10,1,7,-1.299
GL,2016,14,9,5,0,18,-0.374
RCB,2016,14,8,6,0,16,0.932
SRH,2016,14,8,6,0,16,0.245
KKR,2016,14,8,6,0,16,0.106
MI,2016,14,7,7,0,14,-0.146
DD,2016,14,7,7,0,14,-0.155
RPS,2016,14,5,9,0,10,0.015
KXIP,2016,14,4,10,0,8,-0.646
CSK,2015,14,9,5,0,18,0.709
MI,2015,14,8,6,0,16,-0.043
RCB,2015,14,7,5,0,16,1.037
RR,2015,14,7,5,0,16,0.062
KKR,2015,14,7,6,0,15,0.253
SRH,2015,14,7,7,0,14,-0.239
DD,2015,14,5,8,0,11,-0.049
KXIP,2015,14,3,11,0,6,-1.436
KXIP,2014,14,11,3,0,22,0.968
KKR,2014,14,9,5,0,18,0.418
CSK,2014,14,9,5,0,18,0.385
MI,2014,14,7,7,0,14,0.095
RR,2014,14,7,7,0,14,0.06
SRH,2014,14,6,8,0,12,-0.399
RCB,2014,14,5,9,0,10,-0.428
DD,2014,14,2,12,0,4,-1.182
CSK,2013,16,11,5,0,22,0.53
MI,2013,16,11,5,0,22,0.441
RR,2013,16,10,6,0,20,0.322
SRH,2013,16,10,6,0,20,0.003
RCB,2013,16,9,7,0,18,0.457
KXIP,2013,16,8,8,0,16,0.226
KKR,2013,16,6,10,0,12,-0.095
RPS,2013,16,4,12,0,8,-1.006
DD,2013,16,3,13,0,6,-0.848
DD,2012,16,11,5,0,22,0.617
KKR,2012,16,10,5,0,21,0.561
MI,2012,16,10,6,0,20,-0.1
CSK,2012,16,8,7,0,17,0.1
RCB,2012,16,8,7,0,17,-0.022
KXIP,2012,16,8,8,0,16,-0.216
RR,2012,16,7,9,0,14,0.201
SRH,2012,16,4,11,0,9,-0.509
RPS,2012,16,4,12,0,8,-0.551
RCB,2011,14,9,4,0,19,0.326
CSK,2011,14,9,5,0,18,0.443
MI,2011,14,9,5,0,18,0.04
KKR,2011,14,8,6,0,16,0.433
KXIP,2011,14,7,7,0,14,-0.051
RR,2011,14,6,7,0,13,-0.691
SRH,2011,14,6,8,0,12,0.222
KTK,2011,14,6,8,0,12,-0.214
RPS,2011,14,4,9,0,9,-0.134
DD,2011,14,4,9,0,9,-0.448
MI,2010,14,10,4,0,20,1.084
SRH,2010,14,8,6,0,16,-0.297
CSK,2010,14,7,7,0,14,0.274
RCB,2010,14,7,7,0,14,0.219
DD,2010,14,7,7,0,14,0.021
KKR,2010,14,7,7,0,14,-0.341
RR,2010,14,6,8,0,12,-0.514
KXIP,2010,14,4,10,0,8,-0.478
DD,2009,14,10,4,0,20,0.311
CSK,2009,14,8,5,0,17,0.951
RCB,2009,14,8,6,0,16,-0.191
SRH,2009,14,7,7,0,14,0.203
KXIP,2009,14,7,7,0,14,-0.483
RR,2009,14,6,7,0,13,-0.352
MI,2009,14,5,8,0,11,0.297
KKR,2009,14,3,10,0,7,-0.789
RR,2008,14,11,3,0,22,0.632
KXIP,2008,14,10,4,0,20,0.509
CSK,2008,14,8,6,0,16,-0.192
DD,2008,14,7,6,0,15,0.342
MI,2008,14,7,7,0,14,0.57
KKR,2008,14,6,7,0,13,-0.147
RCB,2008,14,4,10,0,8,-1.16
SRH,2008,14,2,12,0,4,-0.467
